trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.25, 'e': 0.8842636625608209}",20,0,-24.168320967925318,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
43,False,"{'a': 0.25, 'e': 0.8816148467834161}",30,0,-70.10771189730087,"{0: 20, 1: 2, 2: 8, 3: 0, 4: 0}",0
44,False,"{'a': 0.25, 'e': 0.8789739655455832}",20,0,-77.87460909128482,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
45,False,"{'a': 0.25, 'e': 0.8763409950793734}",20,0,-141.06955511421478,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
46,False,"{'a': 0.25, 'e': 0.8737159116880344}",25,0,-146.11534540081863,"{0: 16, 1: 1, 2: 4, 3: 2, 4: 2}",0
47,False,"{'a': 0.25, 'e': 0.8710986917457983}",20,10,-29.406501627059065,"{0: 7, 1: 0, 2: 2, 3: 1, 4: 0}",1
48,False,"{'a': 0.25, 'e': 0.8684893116976679}",25,0,-114.87644226283672,"{0: 14, 1: 4, 2: 5, 3: 1, 4: 1}",0
49,False,"{'a': 0.25, 'e': 0.865887748059205}",25,0,-47.157249889376125,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
50,False,"{'a': 0.25, 'e': 0.8632939774163194}",30,0,-133.45797295622913,"{0: 17, 1: 5, 2: 5, 3: 2, 4: 1}",0
51,False,"{'a': 0.25, 'e': 0.8607079764250578}",20,0,-7.913478996565811,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
52,False,"{'a': 0.25, 'e': 0.8581297218113938}",20,0,-170.74547962170396,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",0
53,False,"{'a': 0.25, 'e': 0.8555591903710185}",30,0,-129.65105118535345,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
54,False,"{'a': 0.25, 'e': 0.8529963589691315}",25,0,-228.03651931085918,"{0: 15, 1: 3, 2: 1, 3: 1, 4: 5}",0
55,False,"{'a': 0.25, 'e': 0.850441204540233}",20,0,-166.51463742954647,"{0: 10, 1: 2, 2: 5, 3: 0, 4: 3}",0
56,False,"{'a': 0.25, 'e': 0.8478937040879159}",25,0,-189.84189484657514,"{0: 16, 1: 2, 2: 2, 3: 1, 4: 4}",0
57,False,"{'a': 0.25, 'e': 0.8453538346846587}",25,11,-11.659659172193606,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 0}",1
58,False,"{'a': 0.25, 'e': 0.8428215734716199}",25,0,-210.01267974194894,"{0: 11, 1: 3, 2: 7, 3: 1, 4: 3}",0
59,False,"{'a': 0.25, 'e': 0.8402968976584314}",20,0,-143.16617663351758,"{0: 12, 1: 1, 2: 3, 3: 2, 4: 2}",0
